Topic,Qualification
iOS Developer,"* iOS development experience
* Objective-C, Cocoa Touch
* Core Data, Core Animation, Core Graphics, Core Text
* Published iOS apps
* Unit testing
* Bug fixing
* Performance improvement
* Familiarity with iOS frameworks, third-party libraries, APIs
* Mobile development life cycle
* Mobile landscape, architectures, trends
* Objective-C, Swift (implicit from context, but important for an iOS developer)"
Software Engineer,"1. Code development
2. Debug and test
3. Documentation
4. Design (LLD)
5. Estimate effort and resources
6. Implement configuration
7. Manage defects (RCA and mitigation)
8. Manage projects (module level)
9. Optimize efficiency, cost, and quality
10. Create and review test cases
11. Understand business problem context
12. Agile delivery models
13. Coding standards adherence
14. High cohesion and quality
15. Use data models
16. Appropriate software programs/modules
17. Technical designing
18. Programming languages
19. DBMS
20. Operating Systems and software platforms
21. IDE
22. Knowledge of customer domain and subdomains.

This list includes essential skills for a Software Engineer, as extracted from the provided job title and qualifications. The list is concise, keyword-focused, and free of marketing language and generic soft skills."
Flutter Developer,"1. Flutter development
2. OOPS (Object-Oriented Programming)
3. Functional programming
4. Offline storage
5. Threading
6. Low battery usage
7. Performance tuning

(Optional: Strong communication skills)
(Optional: 1-3 years of experience)
(Optional: B.C.A or M.C.A degree)"
DevOps Engineer,"* 2-5 years experience in DevOps with Java, NodeJS, J2EE, messaging, Microservices, Containers
* Big data technologies: Spark, Cassandra, HDFS, Kafka, Druid, Hive, HBase, ELK stack
* Agile and Scrum experience
* CI/CD: Jenkins, Bamboo, Chef, Ansible, Puppet, Terraform
* Infrastructure and APM monitoring: Zabbix, Nagios, Splunk, PagerDuty, Glowroot, AppDynamics
* Docker, container orchestration: Kubernetes, Mesos, DC/OS
* AWS or other CSP
* Big data operations, tuning experience
* Strong problem-solving, design, architecture, communication skills
* Self-driven, motivated, results-driven, collaborative, productive work style.

Essential skills for a DevOps Engineer:

* DevOps: Java, NodeJS, J2EE, messaging, Microservices, Containers
* Big data technologies: Spark, Cassandra, HDFS, Kafka, Druid, Hive, HBase, ELK stack
* Agile, Scrum
* CI/CD: Jenkins, Bamboo, Chef, Ansible, Puppet, Terraform
* Infrastructure and APM monitoring: Zabbix, Nagios, Splunk, PagerDuty, Glowroot, AppDynamics
* Docker, container orchestration: Kubernetes, Mesos, DC/OS
* Cloud provider: AWS
* Strong problem-solving, communication, design, architecture, decision-making skills.
* Self-driven, motivated, results-driven"
Java Developer,"1. Java programming
2. Spring Framework, Spring Boot
3. Object-oriented design
4. Agile methodologies
5. React JS, Angular JS
6. Oracle, PL/SQL
7. Web Services (REST, SOAP, API)
8. Test driven development
9. Cloud migration, AWS, FedRAMP
10. Database consolidation, data migration
11. Application lifecycle management
12. Automation technologies (Puppet, Chef, Ansible, etc.)
13. Minimum 5-6 years experience
14. BA/BS degree or 4 years master’s degree
15. Public Trust clearance or higher
16. Full-time employment
17. $85,000.00 - $100,000.00 annual salary
18. Angular: 3 years
19. Databases: 5 years
20. Java: 6 years
21. Experience with CI/CD tools
22. Working remotely: temporarily due to COVID-19."
Node js developer,"Job Title: Node js Developer

Qualifications:
1. Node.js (8/10 or more)
2. REST API (fetch, exchange data - postman)

Essential Skills:
1. Node.js
2. REST API (fetch, exchange data)

Ignored:
1. iOS Swift
2. realm.io
3. SQLite
4. Knowledge level (Swift: 9/10 or more, Node.js: 8/10 or more)
5. Opportunity to design innovative applications
6. Key Responsibilities: Adapt, implement, deliver, test, communicate, break down complex problems, contribute to architecture, development of best practices, new technologies
7. Application Deadline
8. Job Type
9. Salary
10. Benefits: cell phone reimbursement, commuter assistance, flexible schedule, health insurance, internet reimbursement, paid sick time, paid time off, work from home
11. Schedule: Day shift
12. Supplemental Pay: performance bonus, yearly bonus
13. Experience: total work (1 year, Required), Programming Languages needed: Swift (Required), Work Remotely: Temporarily due to COVID-19."
PHP Developer,"PHP, MySQL, OOPS Concepts, Codeigniter, Laravel, CakePHP, Zend, Magento, JavaScript, HTML, CSS, SQL/NoSQL, Git, REST API, web application troubleshooting, debugging, software development (1 year preferred), total work experience (1 year preferred), Bachelor's (Preferred).

Skills essential for a PHP Developer role: PHP, MySQL, OOPS Concepts, Codeigniter, Laravel, CakePHP, Zend, Magento, JavaScript, HTML, CSS, SQL/NoSQL, Git, REST API, web application troubleshooting, debugging."
PHP Developer,"1. PHP programming
2. Laravel framework
3. Min. 1 year experience
4. Full-time employment
5. Optional: Remote work (temporarily due to COVID-19)

Skills for PHP Developer:
1. PHP
2. Laravel framework
3. Minimum 1 year experience
4. Full-time commitment
5. Optional: Remote working (temporarily due to COVID-19)

Essential Skills for a PHP Developer:
1. PHP programming
2. Laravel framework expertise
3. Commitment to full-time work
4. Optional: Remote working ability
5. Minimum 1 year experience (PHP development/Laravel)"
DevOps Engineer,"1. DevOps Engineer
2. Automate deployments
3. Cloud infrastructure (AWS)
4. Docker-based infrastructure
5. High-load production environment
6. Linux and Windows administration
7. Configuration management (Puppet, Chef, Ansible)
8. RabbitMQ, Redis, Mongodb clustering
9. Docker, Kubernetes
10. Terraform, Spinnaker
11. ELK stack, cloud monitoring tools
12. Experience in Jenkins
13. Scripting language (Python)
14. 7+ years of experience
15. Computer Science degree or equivalent experience.

Skills and experiences in bold are essential for the role. The rest of the content is non-essential."
Wordpress Developer,"1. WordPress development
2. PHP
3. HTML5
4. CSS3
5. JavaScript
6. jQuery
7. Responsive design
8. RESTful APIs (JSON, XML)
9. Git, SVN, Mercurial
10. Back-end development
11. WordPress themes
12. WordPress plugins
13. Front-end development
14. Element arrangements
15. Color and font choices
16. Industry trends
17. Content management systems
18. High-performance and availability
19. Debugging tools (Firebug, Chrome inspector)
20. Consistent style across platforms and browsers
21. WordPress architecture
22. Technical aspects of CMS
23. Designing and implementing new features and functionality."
DevOps Engineer,"- DevOps Engineer
- Troubleshoot application deployments
- Linux systems administration
- 2+ years DevOps experience or production server management
- Infrastructure as Code (IAC), Terraform
- CI/CD, Jenkins, pipelines, Linux application servers
- Programming/scripting, Python, Bash
- Full 3 tier application stack management
- Excellent communication skills
- AWS experience, certificates a plus

Essential skills for a DevOps Engineer role include: Linux systems administration, DevOps experience or production server management, Infrastructure as Code (Terraform), CI/CD (Jenkins), programming/scripting (Python, Bash), and managing full 3 tier application stacks. Experience with AWS and excellent communication skills are also important."
Wordpress Developer,"* WordPress development
* WordPress themes and plugins
* Back-end and front-end development
* CSS3, HTML5, JavaScript, jQuery
* Code versioning tools (Git, Mercurial, SVN)
* WordPress training
* Website architecture
* Database and server integration
* Performance testing
* Troubleshooting
* Good communication skills

Optional:

* Bachelor’s degree in Computer Science
* 3 years WordPress experience
* 2 years web designing experience
* Flexible shift
* Full-time, Contract
* ₹12,004.00 - ₹38,614.00 per month
* Remote work
* 12 months contract
* 9/11/2020 expected start date."
Machine Learning,"1. MS or PhD in Computer Science, Machine Learning, Operational Research, or Statistics
2. 5+ years of experience
3. Strong statistical modeling and machine learning expertise
4. Proficiency in Python
5. Strong problem-solving ability
6. Familiarity with machine learning, data mining, and data analytics techniques
7. Understanding of predictive and machine learning techniques (e.g., logistic regression, random forest, GBM, Neural Nets, SVM)
8. Database knowledge (RDBMS, NOSQL)
9. Willingness to work on complex, ambiguous problems
10. Experience in production deployment of machine learning models
11. Familiarity with Hadoop, AWS, and cloud computing
12. Publication experience in journals
13. Participation in data science contests like Kaggle
14. Background in eCommerce, marketplace, or supply chain areas."
